ASN<SEP>AS
0<SEP>-Reserved AS-, ZZ
1<SEP>LVLT-1, US
2<SEP>UDEL-DCN, US
3<SEP>MIT-GATEWAYS, US
4<SEP>ISI-AS, US
5<SEP>SYMBOLICS, US
6<SEP>BULL-HN, US
7<SEP>DSTL, EU
8<SEP>RICE-AS, US
9<SEP>CMU-ROUTER, US
10<SEP>CSNET-EXT-AS, US
11<SEP>HARVARD, US
12<SEP>NYU-DOMAIN, US
13<SEP>DNIC-AS-00013, US
14<SEP>COLUMBIA-GW, US
15<SEP>NET-DYNAMICS-EXP, US
16<SEP>LBL, US
17<SEP>PURDUE, US
18<SEP>UTEXAS, US
19<SEP>LEIDOS-AS, US
20<SEP>UR, US
21<SEP>RAND, US
22<SEP>DNIC-AS-00022, US
23<SEP>AS23, US
24<SEP>AS24, US
25<SEP>UCB, US
26<SEP>CORNELL, US
27<SEP>UMDNET, US
28<SEP>DFVLR-SYS, DE
29<SEP>YALE-AS, US
30<SEP>SRI-AICNET, US
31<SEP>CIT, US
32<SEP>STANFORD, US
33<SEP>HP-33, US
34<SEP>UDELNET, US
35<SEP>MITRE-AS-1, US
36<SEP>EGP-TESTOR, US
37<SEP>DNIC-AS-00037, US
38<SEP>UIUC, US
39<SEP>DNIC-AS-00039, US
40<SEP>MIT-TEST, US
41<SEP>AS41, US
42<SEP>WOODYNET-1, US
43<SEP>BNL-AS, US
44<SEP>S1-DOMAIN, US
45<SEP>LLL-TIS-AS, US
46<SEP>RUTGERS, US
47<SEP>USC-AS, US
48<SEP>DNIC-AS-00048, US
49<SEP>US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US
50<SEP>ORNL-MSRNET, US
51<SEP>DNIC-AS-00051, US
52<SEP>UCLA, US
53<SEP>NORTHROP-AS, US
54<SEP>DNIC-AS-00054, US
55<SEP>UPENN, US
56<SEP>DNIC-AS-00056, US
57<SEP>NL-GIGAPOP, US
58<SEP>SSC-299-Z-58, CA
59<SEP>WISC-MADISON-AS, US
60<SEP>AINET-AS60, US
61<SEP>DEC-MARLBORO-AS, US
62<SEP>CONE, US
63<SEP>LL-MI, US
64<SEP>MITRE-AS-2, US
65<SEP>AF-RASN-65, US
66<SEP>DNIC-AS-00066, US
67<SEP>SDC-PRC-AS, US
68<SEP>LANL-INET-AS, US
69<SEP>UPENN-ANYCAST, US
70<SEP>NLM-GW, US
71<SEP>HP-INTERNET-AS, US
72<SEP>SCHLUMBERGER-AS, US
73<SEP>WASHINGTON-AS, US
74<SEP>SSC-299-Z-74, CA
75<SEP>ANL-AS, US
76<SEP>SDC-CAM-AS, US
77<SEP>JHUAPL-AS, US
78<SEP>BA-346-78, US
79<SEP>DSPO-HC-AS, US
80<SEP>GE-CRD, US
81<SEP>NCREN, US
82<SEP>TWG-DEMO-AS, US
83<SEP>DNIC-AS-00083, US
84<SEP>DNIC-AS-00084, US
85<SEP>AERO-NET, US
86<SEP>CSC-300-AS86, US
87<SEP>INDIANA-AS, US
88<SEP>PRINCETON-AS, US
89<SEP>DNIC-AS-00089, US
90<SEP>SUN-AS, US
91<SEP>RPI-AS, US
92<SEP>CLARKSON-AS, US
93<SEP>NTTA-93, US
94<SEP>DNIC-AS-00094, US
95<SEP>DNIC-AS-00095, US
96<SEP>DNIC-AS-00096, US
97<SEP>NTTA-97, US
98<SEP>ROCKEFELLER-AS, US
99<SEP>INTEL-IWARP, US
100<SEP>FMC-CTC, US
101<SEP>WASH-NSF-AS, US
102<SEP>NSF-HQ-AS, US
103<SEP>NWU-AS, US
104<SEP>COLORADO-AS, US
105<SEP>MOT-MCD-AS, US
106<SEP>GDAIS-ASN-106, US
107<SEP>ECSNET-AS, US
108<SEP>XEROX-AS, US
109<SEP>CISCOSYSTEMS, US
110<SEP>XAIT-AS, US
111<SEP>BOSTONU-AS, US
112<SEP>-Reserved AS-, ZZ
113<SEP>SCCNET-AS, US
114<SEP>NTTA-114, US
115<SEP>DNIC-AS-00115, US
116<SEP>TELCORDIA, US
117<SEP>ALBM-NET-AS, US
118<SEP>DNIC-AS-00118, US
119<SEP>AMS-AS, US
120<SEP>MITRE-OMAHA, US
121<SEP>DNIC-AS-00121, US
122<SEP>UPMC-AS122, US
123<SEP>LOGAIRCOMNET-AS, US
124<SEP>DNIC-AS-00124, US
125<SEP>HI-NET-AS, US
126<SEP>DNIC-AS-00126, US
127<SEP>JPL-AS127, US
128<SEP>ADS-AS, US
129<SEP>DNIC-AS-00129, US
130<SEP>CSOCNET-AS, US
131<SEP>UCSB-NET-AS, US
132<SEP>WPAFB-CSD-NET-AS, US
133<SEP>AFIT-AS, US
134<SEP>CORONA-GW-AS, US
135<SEP>DNIC-AS-00135, US
136<SEP>AF-ASN-136, US
137<SEP>ASGARR Consortium GARR, IT
138<SEP>DNIC-AS-00138, US
139<SEP>DNIC-AS-00139, US
140<SEP>DNIC-AS-00140, US
141<SEP>DNIC-AS-00141, US
142<SEP>DNIC-AS-00142, US
143<SEP>OOG1-AS, US
144<SEP>ATT-INTERNET, US
145<SEP>VBNS, US
146<SEP>HQEIS-AS, US
147<SEP>DNIC-AS-00147, US
148<SEP>DNIC-AS-00148, US
149<SEP>DNIC-AS-00149, US
150<SEP>DNIC-AS-00150, US
151<SEP>IND-NTC-AS, US
152<SEP>SRI-ACCATT-AS, US
153<SEP>CTNOSC-ASN-153, US
154<SEP>DNIC-AS-00154, US
155<SEP>DNIC-AS-00155, US
156<SEP>NORTHEASTERN-GW-AS, US
157<SEP>INTELLIAUTON, US
158<SEP>ERI-AS, US
159<SEP>OSUNET-AS, US
160<SEP>U-CHICAGO-AS, US
161<SEP>TI-AS, US
162<SEP>DNIC-AS-00162, US
163<SEP>IBM-RESEARCH-AS, US
164<SEP>DNIC-AS-00164, US
165<SEP>DNIC-AS-00165, US
166<SEP>IDA-AS, US
167<SEP>WESLEYAN-AS, US
168<SEP>UMASS-AMHERST, US
169<SEP>HANSCOM-NET-AS, US
170<SEP>DNIC-AS-00170, US
171<SEP>SOX-RES, US
172<SEP>DNIC-AS-00172, US
173<SEP>ERX-ECLNET Electrical Communications Laboratories, JP
174<SEP>COGENT-174, US
175<SEP>PL-AS, US
176<SEP>BCN-AS, US
177<SEP>UMICH-AS-1, US
178<SEP>UMICH-AS-2, US
179<SEP>UMICH-AS-3, US
180<SEP>UMICH-AS-4, US
181<SEP>MERIT-AS-1, US
182<SEP>MERIT-AS-2, US
183<SEP>MERIT-AS-3, US
184<SEP>MERIT-AS-4, US
185<SEP>MERIT-AS-5, US
186<SEP>CUA-AS, US
187<SEP>DNSCAST-AS, US
188<SEP>SAIC-AS, US
189<SEP>LVLT-189, US
190<SEP>DNIC-AS-00190, US
191<SEP>DNIC-AS-00191, US
192<SEP>ROCHINSTTECH, US
193<SEP>FORD-ASN, US
194<SEP>NCAR-AS, US
195<SEP>SDSC-AS, US
196<SEP>BOEING196, US
197<SEP>RAYTHEON-AS-2, US
198<SEP>DNIC-AS-00198, US
199<SEP>CENTURYLINK-LEGACY-LVLT-199, US
200<SEP>CENTURYLINK-LEGACY-LVLT-200, US
201<SEP>CENTURYLINK-LEGACY-LVLT-201, US
202<SEP>CENTURYLINK-LEGACY-LVLT-202, US
203<SEP>CENTURYLINK-LEGACY-LVLT-203, US
204<SEP>PSCNET-AS, US
205<SEP>MONTCLAIR-AS, US
206<SEP>CSC-IGN-AMER, US
207<SEP>CLI-GW-AS, US
208<SEP>DNIC-AS-00208, US
209<SEP>CENTURYLINK-US-LEGACY-QWEST, US
210<SEP>WEST-NET-WEST, US
211<SEP>RADC-LONS-GW-AS, US
212<SEP>HQAFSC-LONS-GW-AS, US
213<SEP>DNIC-AS-00213, US
214<SEP>DNIC-AS-00214, US
215<SEP>DNIC-AS-00215, US
216<SEP>LMSC-HOSTNET-AS, US
217<SEP>UMN-SYSTEM, US
218<SEP>AFOTECPCNET-AS, US
219<SEP>DNIC-AS-00219, US
220<SEP>OOALC-HOSTNET-AS, US
221<SEP>WRALC-HOSTNET-AS, US
222<SEP>SMALC-HOSTNET-AS, US
223<SEP>AS223, US
224<SEP>UNINETT UNINETT, The Norwegian University & Research Network, NO
225<SEP>VIRGINIA-AS, US
226<SEP>LOS-NETTOS-AS, US
227<SEP>DNIC-AS-00227, US
228<SEP>DNIC-AS-00228, US
229<SEP>MERIT-AS-6, US
230<SEP>MERIT-AS-7, US
231<SEP>MERIT-AS-8, US
232<SEP>MERIT-AS-9, US
233<SEP>MERIT-AS-10, US
234<SEP>BLACKROSE-1, US
235<SEP>MERIT-AS-12, US
236<SEP>MERIT-AS-13, US
237<SEP>MERIT-AS-14, US
238<SEP>MERIT-AS-15, US
239<SEP>UTORONTO-AS, CA
240<SEP>SAALC-HOSTNET-AS, US
241<SEP>OCALC-HOSTNET-AS, US
242<SEP>SSSD-AS, US
243<SEP>HARRIS-ATD-AS, US
244<SEP>DNIC-AS-00244, US
245<SEP>PRC-AS, US
246<SEP>ASIFICS-GW-AS, US
247<SEP>ROMENET-AS, US
248<SEP>IDDQD-AS IDDQD-AS, EU
249<SEP>PETERCOM-AS AS249, EU
250<SEP>SACREDCHAO-AS AS250.net Foundation, EU
251<SEP>DENISKLIMEK-AS Denis Klimek, EU
252<SEP>DNIC-AS-00252, US
253<SEP>NTTA-253, US
254<SEP>TWG-NET-AS, US
255<SEP>PAFB-GW, US
256<SEP>DNIC-AS-00256, US
257<SEP>DNIC-AS-00257, US
258<SEP>BRAGGSRI-EGP-AS, US
259<SEP>SCUBED-AS, US
260<SEP>XCONNECT24, US
261<SEP>FR-CINES-MONTPELLIER FR, EU
262<SEP>VERIO, US
263<SEP>NTTA-263, US
264<SEP>SRINET-AS, US
265<SEP>DSI-WR-16, US
266<SEP>DHC-USA-INC, US
267<SEP>NETHER-NET, US
268<SEP>USUHSNET-AS, US
269<SEP>INCSYS-AS, US
270<SEP>AS270, US
271<SEP>BCNET-AS, CA
272<SEP>CTNOSC-ASN-272, US
273<SEP>DNIC-AS-00273, US
274<SEP>AINET-AS274, US
275<SEP>NTTA-275, US
276<SEP>OTS-AS-276, US
277<SEP>CSC-300-AS277, US
278<SEP>Universidad Nacional Autonoma de Mexico, MX
279<SEP>LVLT-279, US
280<SEP>NTTA-280, US
281<SEP>LVLT-281, US
282<SEP>MERIT-AUX-AS, US
283<SEP>MPOWERLABS, US
284<SEP>UUNET-IPV6, US
285<SEP>DNIC-AS-00285, US
286<SEP>KPN, NL
287<SEP>DNIC-AS-00287, US
288<SEP>ESA Robert Bosch Strasse 5, DE
289<SEP>DNIC-AS-00289, US
290<SEP>SHOWNET-AS, US
291<SEP>ESNET-EAST, US
292<SEP>ESNET-WEST, US
293<SEP>ESNET, US
294<SEP>FRANCE-IP-NET-AS Institut National de Recherche en Informatique et Automatique, EU
295<SEP>USTCCLOUD, US
296<SEP>ACFP-AS, US
297<SEP>AS297, US
